PK_Nacionalidad;Nacionalidad;Continente;Extranjero
243;"SUDÁN                                                                           ";"África                                  ";2
244;"SWAZILANDIA                                                                     ";"África                                  ";2
245;"TANZANIA                                                                        ";"África                                  ";2
246;"CHAD                                                                            ";"África                                  ";2
247;"TOGO                                                                            ";"África                                  ";2
248;"TÚNEZ                                                                           ";"África                                  ";2
249;"UGANDA                                                                          ";"África                                  ";2
250;"REPÚBLICA DEMOCRÁTICA DEL CONGO anterior ZAIRE                                  ";"África                                  ";2
251;"ZAMBIA                                                                          ";"África                                  ";2
252;"ZIMBABWE                                                                        ";"África                                  ";2
253;"ERITREA                                                                         ";"África                                  ";2
254;"SUDÁN DEL SUR                                                                   ";"África                                  ";2
299;"OTROS PAÍSES DE ÁFRICA                                                          ";"África                                  ";2
301;"CANADÁ                                                                          ";"America                                 ";2
302;"ESTADOS UNIDOS DE AMÉRICA                                                       ";"America                                 ";2
303;"MÉXICO                                                                          ";"America                                 ";2
310;"ANTIGUA Y BARBUDA                                                               ";"America                                 ";2
311;"BAHAMAS                                                                         ";"America                                 ";2
312;"BARBADOS                                                                        ";"America                                 ";2
313;"BELICE                                                                          ";"America                                 ";2
314;"COSTA RICA                                                                      ";"America                                 ";2
315;"CUBA                                                                            ";"America                                 ";2
316;"DOMINICA                                                                        ";"America                                 ";2
317;"EL SALVADOR                                                                     ";"America                                 ";2
318;"GRANADA                                                                         ";"America                                 ";2
319;"GUATEMALA                                                                       ";"America                                 ";2
320;"HAITÍ                                                                           ";"America                                 ";2
321;"HONDURAS                                                                        ";"America                                 ";2
322;"JAMAICA                                                                         ";"America                                 ";2
323;"NICARAGUA                                                                       ";"America                                 ";2
324;"PANAMÁ                                                                          ";"America                                 ";2
325;"SAN VICENTE Y LAS GRANADINAS                                                    ";"America                                 ";2
326;"REPÚBLICA DOMINICANA                                                            ";"America                                 ";2
327;"TRINIDAD Y TOBAGO                                                               ";"America                                 ";2
328;"SANTA LUCÍA                                                                     ";"America                                 ";2
329;"SAN CRISTÓBAL Y NIEVES                                                          ";"America                                 ";2
340;"ARGENTINA                                                                       ";"America                                 ";2
341;"BOLIVIA                                                                         ";"America                                 ";2
342;"BRASIL                                                                          ";"America                                 ";2
343;"COLOMBIA                                                                        ";"America                                 ";2
344;"CHILE                                                                           ";"America                                 ";2
345;"ECUADOR                                                                         ";"America                                 ";2
346;"GUYANA                                                                          ";"America                                 ";2
347;"PARAGUAY                                                                        ";"America                                 ";2
348;"PERÚ                                                                            ";"America                                 ";2
349;"SURINAM                                                                         ";"America                                 ";2
350;"URUGUAY                                                                         ";"America                                 ";2
351;"VENEZUELA                                                                       ";"America                                 ";2
399;"OTROS PAÍSES DE AMÉRICA                                                         ";"America                                 ";2
401;"AFGANISTÁN                                                                      ";"Asia                                    ";2
402;"ARABIA SAUDÍ                                                                    ";"Asia                                    ";2
403;"BAHRÉIN                                                                         ";"Asia                                    ";2
404;"BANGLADESH                                                                      ";"Asia                                    ";2
405;"MYANMAR                                                                         ";"Asia                                    ";2
407;"CHINA                                                                           ";"Asia                                    ";2
408;"EMIRATOS ÁRABES UNIDOS                                                          ";"Asia                                    ";2
409;"FILIPINAS                                                                       ";"Asia                                    ";2
410;"INDIA                                                                           ";"Asia                                    ";2
411;"INDONESIA                                                                       ";"Asia                                    ";2
412;"IRAQ                                                                            ";"Asia                                    ";2
413;"IRÁN                                                                            ";"Asia                                    ";2
414;"ISRAEL                                                                          ";"Asia                                    ";2
415;"JAPÓN                                                                           ";"Asia                                    ";2
416;"JORDANIA                                                                        ";"Asia                                    ";2
417;"CAMBOYA                                                                         ";"Asia                                    ";2
418;"KUWAIT                                                                          ";"Asia                                    ";2
419;"LAOS                                                                            ";"Asia                                    ";2
420;"LÍBANO                                                                          ";"Asia                                    ";2
421;"MALASIA                                                                         ";"Asia                                    ";2
422;"MALDIVAS                                                                        ";"Asia                                    ";2
423;"MONGOLIA                                                                        ";"Asia                                    ";2
424;"NEPAL                                                                           ";"Asia                                    ";2
425;"OMÁN                                                                            ";"Asia                                    ";2
426;"PAKISTÁN                                                                        ";"Asia                                    ";2
427;"QATAR                                                                           ";"Asia                                    ";2
428;"YEMEN (SANA)                                                                    ";"Asia                                    ";2
429;"YEMEN (ADEN) (FEDERACIÓN DE ARABIA DEL SUR)                                     ";"Asia                                    ";2
430;"COREA                                                                           ";"Asia                                    ";2
431;"COREA DEL NORTE                                                                 ";"Asia                                    ";2
432;"SINGAPUR                                                                        ";"Asia                                    ";2
433;"SIRIA                                                                           ";"Asia                                    ";2
434;"SRI LANKA                                                                       ";"Asia                                    ";2
435;"TAILANDIA                                                                       ";"Asia                                    ";2
436;"TURQUÍA                                                                         ";"Asia                                    ";2
437;"VIETNAM                                                                         ";"Asia                                    ";2
439;"BRUNEI                                                                          ";"Asia                                    ";2
440;"ISLAS MARSHALL                                                                  ";"Asia                                    ";2
441;"YEMEN                                                                           ";"Asia                                    ";2
442;"AZERBAIYÁN                                                                      ";"Asia                                    ";2
443;"KAZAJSTÁN                                                                       ";"Asia                                    ";2
444;"KIRGUISTÁN                                                                      ";"Asia                                    ";2
445;"TAYIKISTÁN anterior TADYIKISTÁN                                                 ";"Asia                                    ";2
