PK_Zona;ID_Zona;Zona;TipoZona;Mapa
224;56;"BIURRUN-OLCOZ                                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
225;57;"BUÑUEL                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
226;58;"AURITZ / BURGUETE                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
227;59;"BURGUI / BURGI                                    ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
228;6;"ABLITAS                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
229;60;"BURLADA / BURLATA                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
230;61;"EL BUSTO                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
231;62;"CABANILLAS                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
232;63;"CABREDO                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
233;64;"CADREITA                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
234;65;"CAPARROSO                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
235;66;"CÁRCAR                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
236;67;"CARCASTILLO                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
237;68;"CASCANTE                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
238;69;"CÁSEDA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
239;7;"ADIÓS                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
240;70;"CASTEJÓN                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
241;71;"CASTILLONUEVO                                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
242;72;"CINTRUÉNIGO                                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
243;73;"ZIORDIA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
244;74;"CIRAUQUI / ZIRAUKI                                ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
245;75;"CIRIZA / ZIRITZA                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
246;76;"CIZUR                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
247;77;"CORELLA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
248;78;"CORTES                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
249;79;"DESOJO                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
250;8;"AGUILAR DE CODÉS                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
251;80;"DICASTILLO                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
252;81;"DONAMARIA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
253;82;"ETXALAR                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
254;83;"ECHARRI / ETXARRI                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
255;84;"ETXARRI ARANATZ                                   ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
256;85;"ETXAURI                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
257;86;"VALLE DE EGÜÉS / EGUESIBAR                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
258;87;"ELGORRIAGA                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
259;88;"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
260;89;"ENÉRIZ / ENERITZ                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
261;9;"AIBAR / OIBAR                                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
262;90;"ERATSUN                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
263;901;"BARAÑÁIN / BARAÑAIN                               ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
264;902;"BERRIOPLANO / BERRIOBEITI                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
265;903;"BERRIOZAR                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
266;904;"IRURTZUN                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
267;905;"BERIÁIN                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
268;906;"ORKOIEN                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
269;907;"ZIZUR MAYOR / ZIZUR NAGUSIA                       ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
270;908;"LEKUNBERRI                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
271;91;"ERGOIENA                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
272;92;"ERRO                                              ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
273;93;"EZCÁROZ / EZKAROZE                                ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
274;94;"ESLAVA                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
275;95;"ESPARZA DE SALAZAR / ESPARTZA ZARAITZU            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
276;96;"ESPRONCEDA                                        ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
277;97;"ESTELLA-LIZARRA                                   ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
278;98;"ESTERIBAR                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
279;99;"ETAYO                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
280;L_1;"Vascófona                                         ";Lingüistica;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Lingüistica.svg
281;L_2;"Mixta                                             ";Lingüistica;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Lingüistica.svg
282;L_3;"No vascófona                                      ";Lingüistica;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Lingüistica.svg
