PK_Calendario;Fecha;Año;Mes;Trimestre;NombreMes;NombreTrimestre;MesAño;DiasTotales;DiasHabiles;CoeficienteIPI;CoeficienteICM
19050101;1905-01-01;1905;1;1;Enero;Trim. 1;1905-01-01;NULL;NULL;NULL;NULL
19050201;1905-02-01;1905;2;1;Febrero;Trim. 1;1905-02-01;NULL;NULL;NULL;NULL
19050301;1905-03-01;1905;3;1;Marzo;Trim. 1;1905-03-01;NULL;NULL;NULL;NULL
19050401;1905-04-01;1905;4;2;Abril;Trim. 2;1905-04-01;NULL;NULL;NULL;NULL
19050501;1905-05-01;1905;5;2;Mayo;Trim. 2;1905-05-01;NULL;NULL;NULL;NULL
19050601;1905-06-01;1905;6;2;Junio;Trim. 2;1905-06-01;NULL;NULL;NULL;NULL
19050701;1905-07-01;1905;7;3;Julio;Trim. 3;1905-07-01;NULL;NULL;NULL;NULL
19050801;1905-08-01;1905;8;3;Agosto;Trim. 3;1905-08-01;NULL;NULL;NULL;NULL
19050901;1905-09-01;1905;9;3;Septiembre;Trim. 3;1905-09-01;NULL;NULL;NULL;NULL
19051001;1905-10-01;1905;10;4;Octubre;Trim. 4;1905-10-01;NULL;NULL;NULL;NULL
19051101;1905-11-01;1905;11;4;Noviembre;Trim. 4;1905-11-01;NULL;NULL;NULL;NULL
19051201;1905-12-01;1905;12;4;Diciembre;Trim. 4;1905-12-01;NULL;NULL;NULL;NULL
19060101;1906-01-01;1906;1;1;Enero;Trim. 1;1906-01-01;NULL;NULL;NULL;NULL
19060201;1906-02-01;1906;2;1;Febrero;Trim. 1;1906-02-01;NULL;NULL;NULL;NULL
19060301;1906-03-01;1906;3;1;Marzo;Trim. 1;1906-03-01;NULL;NULL;NULL;NULL
19060401;1906-04-01;1906;4;2;Abril;Trim. 2;1906-04-01;NULL;NULL;NULL;NULL
19060501;1906-05-01;1906;5;2;Mayo;Trim. 2;1906-05-01;NULL;NULL;NULL;NULL
19060601;1906-06-01;1906;6;2;Junio;Trim. 2;1906-06-01;NULL;NULL;NULL;NULL
19060701;1906-07-01;1906;7;3;Julio;Trim. 3;1906-07-01;NULL;NULL;NULL;NULL
19060801;1906-08-01;1906;8;3;Agosto;Trim. 3;1906-08-01;NULL;NULL;NULL;NULL
19060901;1906-09-01;1906;9;3;Septiembre;Trim. 3;1906-09-01;NULL;NULL;NULL;NULL
19061001;1906-10-01;1906;10;4;Octubre;Trim. 4;1906-10-01;NULL;NULL;NULL;NULL
19061101;1906-11-01;1906;11;4;Noviembre;Trim. 4;1906-11-01;NULL;NULL;NULL;NULL
19061201;1906-12-01;1906;12;4;Diciembre;Trim. 4;1906-12-01;NULL;NULL;NULL;NULL
19070101;1907-01-01;1907;1;1;Enero;Trim. 1;1907-01-01;NULL;NULL;NULL;NULL
19070201;1907-02-01;1907;2;1;Febrero;Trim. 1;1907-02-01;NULL;NULL;NULL;NULL
19070301;1907-03-01;1907;3;1;Marzo;Trim. 1;1907-03-01;NULL;NULL;NULL;NULL
19070401;1907-04-01;1907;4;2;Abril;Trim. 2;1907-04-01;NULL;NULL;NULL;NULL
19070501;1907-05-01;1907;5;2;Mayo;Trim. 2;1907-05-01;NULL;NULL;NULL;NULL
19070601;1907-06-01;1907;6;2;Junio;Trim. 2;1907-06-01;NULL;NULL;NULL;NULL
19070701;1907-07-01;1907;7;3;Julio;Trim. 3;1907-07-01;NULL;NULL;NULL;NULL
19070801;1907-08-01;1907;8;3;Agosto;Trim. 3;1907-08-01;NULL;NULL;NULL;NULL
19070901;1907-09-01;1907;9;3;Septiembre;Trim. 3;1907-09-01;NULL;NULL;NULL;NULL
19071001;1907-10-01;1907;10;4;Octubre;Trim. 4;1907-10-01;NULL;NULL;NULL;NULL
19071101;1907-11-01;1907;11;4;Noviembre;Trim. 4;1907-11-01;NULL;NULL;NULL;NULL
19071201;1907-12-01;1907;12;4;Diciembre;Trim. 4;1907-12-01;NULL;NULL;NULL;NULL
19080101;1908-01-01;1908;1;1;Enero;Trim. 1;1908-01-01;NULL;NULL;NULL;NULL
19080201;1908-02-01;1908;2;1;Febrero;Trim. 1;1908-02-01;NULL;NULL;NULL;NULL
19080301;1908-03-01;1908;3;1;Marzo;Trim. 1;1908-03-01;NULL;NULL;NULL;NULL
19080401;1908-04-01;1908;4;2;Abril;Trim. 2;1908-04-01;NULL;NULL;NULL;NULL
19080501;1908-05-01;1908;5;2;Mayo;Trim. 2;1908-05-01;NULL;NULL;NULL;NULL
19080601;1908-06-01;1908;6;2;Junio;Trim. 2;1908-06-01;NULL;NULL;NULL;NULL
19080701;1908-07-01;1908;7;3;Julio;Trim. 3;1908-07-01;NULL;NULL;NULL;NULL
19080801;1908-08-01;1908;8;3;Agosto;Trim. 3;1908-08-01;NULL;NULL;NULL;NULL
19080901;1908-09-01;1908;9;3;Septiembre;Trim. 3;1908-09-01;NULL;NULL;NULL;NULL
19081001;1908-10-01;1908;10;4;Octubre;Trim. 4;1908-10-01;NULL;NULL;NULL;NULL
19081101;1908-11-01;1908;11;4;Noviembre;Trim. 4;1908-11-01;NULL;NULL;NULL;NULL
19081201;1908-12-01;1908;12;4;Diciembre;Trim. 4;1908-12-01;NULL;NULL;NULL;NULL
19090101;1909-01-01;1909;1;1;Enero;Trim. 1;1909-01-01;NULL;NULL;NULL;NULL
19090201;1909-02-01;1909;2;1;Febrero;Trim. 1;1909-02-01;NULL;NULL;NULL;NULL
19090301;1909-03-01;1909;3;1;Marzo;Trim. 1;1909-03-01;NULL;NULL;NULL;NULL
19090401;1909-04-01;1909;4;2;Abril;Trim. 2;1909-04-01;NULL;NULL;NULL;NULL
19090501;1909-05-01;1909;5;2;Mayo;Trim. 2;1909-05-01;NULL;NULL;NULL;NULL
19090601;1909-06-01;1909;6;2;Junio;Trim. 2;1909-06-01;NULL;NULL;NULL;NULL
19090701;1909-07-01;1909;7;3;Julio;Trim. 3;1909-07-01;NULL;NULL;NULL;NULL
19090801;1909-08-01;1909;8;3;Agosto;Trim. 3;1909-08-01;NULL;NULL;NULL;NULL
19090901;1909-09-01;1909;9;3;Septiembre;Trim. 3;1909-09-01;NULL;NULL;NULL;NULL
19091001;1909-10-01;1909;10;4;Octubre;Trim. 4;1909-10-01;NULL;NULL;NULL;NULL
19091101;1909-11-01;1909;11;4;Noviembre;Trim. 4;1909-11-01;NULL;NULL;NULL;NULL
19091201;1909-12-01;1909;12;4;Diciembre;Trim. 4;1909-12-01;NULL;NULL;NULL;NULL
19100101;1910-01-01;1910;1;1;Enero;Trim. 1;1910-01-01;NULL;NULL;NULL;NULL
19100201;1910-02-01;1910;2;1;Febrero;Trim. 1;1910-02-01;NULL;NULL;NULL;NULL
19100301;1910-03-01;1910;3;1;Marzo;Trim. 1;1910-03-01;NULL;NULL;NULL;NULL
19100401;1910-04-01;1910;4;2;Abril;Trim. 2;1910-04-01;NULL;NULL;NULL;NULL
19100501;1910-05-01;1910;5;2;Mayo;Trim. 2;1910-05-01;NULL;NULL;NULL;NULL
19100601;1910-06-01;1910;6;2;Junio;Trim. 2;1910-06-01;NULL;NULL;NULL;NULL
19100701;1910-07-01;1910;7;3;Julio;Trim. 3;1910-07-01;NULL;NULL;NULL;NULL
19100801;1910-08-01;1910;8;3;Agosto;Trim. 3;1910-08-01;NULL;NULL;NULL;NULL
19100901;1910-09-01;1910;9;3;Septiembre;Trim. 3;1910-09-01;NULL;NULL;NULL;NULL
19101001;1910-10-01;1910;10;4;Octubre;Trim. 4;1910-10-01;NULL;NULL;NULL;NULL
19101101;1910-11-01;1910;11;4;Noviembre;Trim. 4;1910-11-01;NULL;NULL;NULL;NULL
19101201;1910-12-01;1910;12;4;Diciembre;Trim. 4;1910-12-01;NULL;NULL;NULL;NULL
19110101;1911-01-01;1911;1;1;Enero;Trim. 1;1911-01-01;NULL;NULL;NULL;NULL
19110201;1911-02-01;1911;2;1;Febrero;Trim. 1;1911-02-01;NULL;NULL;NULL;NULL
19110301;1911-03-01;1911;3;1;Marzo;Trim. 1;1911-03-01;NULL;NULL;NULL;NULL
19110401;1911-04-01;1911;4;2;Abril;Trim. 2;1911-04-01;NULL;NULL;NULL;NULL
19110501;1911-05-01;1911;5;2;Mayo;Trim. 2;1911-05-01;NULL;NULL;NULL;NULL
19110601;1911-06-01;1911;6;2;Junio;Trim. 2;1911-06-01;NULL;NULL;NULL;NULL
19110701;1911-07-01;1911;7;3;Julio;Trim. 3;1911-07-01;NULL;NULL;NULL;NULL
19110801;1911-08-01;1911;8;3;Agosto;Trim. 3;1911-08-01;NULL;NULL;NULL;NULL
19110901;1911-09-01;1911;9;3;Septiembre;Trim. 3;1911-09-01;NULL;NULL;NULL;NULL
19111001;1911-10-01;1911;10;4;Octubre;Trim. 4;1911-10-01;NULL;NULL;NULL;NULL
19111101;1911-11-01;1911;11;4;Noviembre;Trim. 4;1911-11-01;NULL;NULL;NULL;NULL
19111201;1911-12-01;1911;12;4;Diciembre;Trim. 4;1911-12-01;NULL;NULL;NULL;NULL
19120101;1912-01-01;1912;1;1;Enero;Trim. 1;1912-01-01;NULL;NULL;NULL;NULL
19120201;1912-02-01;1912;2;1;Febrero;Trim. 1;1912-02-01;NULL;NULL;NULL;NULL
19120301;1912-03-01;1912;3;1;Marzo;Trim. 1;1912-03-01;NULL;NULL;NULL;NULL
19120401;1912-04-01;1912;4;2;Abril;Trim. 2;1912-04-01;NULL;NULL;NULL;NULL
19120501;1912-05-01;1912;5;2;Mayo;Trim. 2;1912-05-01;NULL;NULL;NULL;NULL
19120601;1912-06-01;1912;6;2;Junio;Trim. 2;1912-06-01;NULL;NULL;NULL;NULL
19120701;1912-07-01;1912;7;3;Julio;Trim. 3;1912-07-01;NULL;NULL;NULL;NULL
19120801;1912-08-01;1912;8;3;Agosto;Trim. 3;1912-08-01;NULL;NULL;NULL;NULL
19120901;1912-09-01;1912;9;3;Septiembre;Trim. 3;1912-09-01;NULL;NULL;NULL;NULL
19121001;1912-10-01;1912;10;4;Octubre;Trim. 4;1912-10-01;NULL;NULL;NULL;NULL
19121101;1912-11-01;1912;11;4;Noviembre;Trim. 4;1912-11-01;NULL;NULL;NULL;NULL
19121201;1912-12-01;1912;12;4;Diciembre;Trim. 4;1912-12-01;NULL;NULL;NULL;NULL
19130101;1913-01-01;1913;1;1;Enero;Trim. 1;1913-01-01;NULL;NULL;NULL;NULL
19130201;1913-02-01;1913;2;1;Febrero;Trim. 1;1913-02-01;NULL;NULL;NULL;NULL
19130301;1913-03-01;1913;3;1;Marzo;Trim. 1;1913-03-01;NULL;NULL;NULL;NULL
19130401;1913-04-01;1913;4;2;Abril;Trim. 2;1913-04-01;NULL;NULL;NULL;NULL
19130501;1913-05-01;1913;5;2;Mayo;Trim. 2;1913-05-01;NULL;NULL;NULL;NULL
19130601;1913-06-01;1913;6;2;Junio;Trim. 2;1913-06-01;NULL;NULL;NULL;NULL
19130701;1913-07-01;1913;7;3;Julio;Trim. 3;1913-07-01;NULL;NULL;NULL;NULL
19130801;1913-08-01;1913;8;3;Agosto;Trim. 3;1913-08-01;NULL;NULL;NULL;NULL
19130901;1913-09-01;1913;9;3;Septiembre;Trim. 3;1913-09-01;NULL;NULL;NULL;NULL
