PK_Calendario;Fecha;Año;Mes;Trimestre;NombreMes;NombreTrimestre;MesAño;DiasTotales;DiasHabiles;CoeficienteIPI;CoeficienteICM
19211101;1921-11-01;1921;11;4;Noviembre;Trim. 4;1921-11-01;NULL;NULL;NULL;NULL
19211201;1921-12-01;1921;12;4;Diciembre;Trim. 4;1921-12-01;NULL;NULL;NULL;NULL
19220101;1922-01-01;1922;1;1;Enero;Trim. 1;1922-01-01;NULL;NULL;NULL;NULL
19220201;1922-02-01;1922;2;1;Febrero;Trim. 1;1922-02-01;NULL;NULL;NULL;NULL
19220301;1922-03-01;1922;3;1;Marzo;Trim. 1;1922-03-01;NULL;NULL;NULL;NULL
19220401;1922-04-01;1922;4;2;Abril;Trim. 2;1922-04-01;NULL;NULL;NULL;NULL
19220501;1922-05-01;1922;5;2;Mayo;Trim. 2;1922-05-01;NULL;NULL;NULL;NULL
19220601;1922-06-01;1922;6;2;Junio;Trim. 2;1922-06-01;NULL;NULL;NULL;NULL
19220701;1922-07-01;1922;7;3;Julio;Trim. 3;1922-07-01;NULL;NULL;NULL;NULL
19220801;1922-08-01;1922;8;3;Agosto;Trim. 3;1922-08-01;NULL;NULL;NULL;NULL
19220901;1922-09-01;1922;9;3;Septiembre;Trim. 3;1922-09-01;NULL;NULL;NULL;NULL
19221001;1922-10-01;1922;10;4;Octubre;Trim. 4;1922-10-01;NULL;NULL;NULL;NULL
19221101;1922-11-01;1922;11;4;Noviembre;Trim. 4;1922-11-01;NULL;NULL;NULL;NULL
19221201;1922-12-01;1922;12;4;Diciembre;Trim. 4;1922-12-01;NULL;NULL;NULL;NULL
19230101;1923-01-01;1923;1;1;Enero;Trim. 1;1923-01-01;NULL;NULL;NULL;NULL
19230201;1923-02-01;1923;2;1;Febrero;Trim. 1;1923-02-01;NULL;NULL;NULL;NULL
19230301;1923-03-01;1923;3;1;Marzo;Trim. 1;1923-03-01;NULL;NULL;NULL;NULL
19230401;1923-04-01;1923;4;2;Abril;Trim. 2;1923-04-01;NULL;NULL;NULL;NULL
19230501;1923-05-01;1923;5;2;Mayo;Trim. 2;1923-05-01;NULL;NULL;NULL;NULL
19230601;1923-06-01;1923;6;2;Junio;Trim. 2;1923-06-01;NULL;NULL;NULL;NULL
19230701;1923-07-01;1923;7;3;Julio;Trim. 3;1923-07-01;NULL;NULL;NULL;NULL
19230801;1923-08-01;1923;8;3;Agosto;Trim. 3;1923-08-01;NULL;NULL;NULL;NULL
19230901;1923-09-01;1923;9;3;Septiembre;Trim. 3;1923-09-01;NULL;NULL;NULL;NULL
19231001;1923-10-01;1923;10;4;Octubre;Trim. 4;1923-10-01;NULL;NULL;NULL;NULL
19231101;1923-11-01;1923;11;4;Noviembre;Trim. 4;1923-11-01;NULL;NULL;NULL;NULL
19231201;1923-12-01;1923;12;4;Diciembre;Trim. 4;1923-12-01;NULL;NULL;NULL;NULL
19240101;1924-01-01;1924;1;1;Enero;Trim. 1;1924-01-01;NULL;NULL;NULL;NULL
19240201;1924-02-01;1924;2;1;Febrero;Trim. 1;1924-02-01;NULL;NULL;NULL;NULL
19240301;1924-03-01;1924;3;1;Marzo;Trim. 1;1924-03-01;NULL;NULL;NULL;NULL
19240401;1924-04-01;1924;4;2;Abril;Trim. 2;1924-04-01;NULL;NULL;NULL;NULL
19240501;1924-05-01;1924;5;2;Mayo;Trim. 2;1924-05-01;NULL;NULL;NULL;NULL
19240601;1924-06-01;1924;6;2;Junio;Trim. 2;1924-06-01;NULL;NULL;NULL;NULL
19240701;1924-07-01;1924;7;3;Julio;Trim. 3;1924-07-01;NULL;NULL;NULL;NULL
19240801;1924-08-01;1924;8;3;Agosto;Trim. 3;1924-08-01;NULL;NULL;NULL;NULL
19240901;1924-09-01;1924;9;3;Septiembre;Trim. 3;1924-09-01;NULL;NULL;NULL;NULL
19241001;1924-10-01;1924;10;4;Octubre;Trim. 4;1924-10-01;NULL;NULL;NULL;NULL
19241101;1924-11-01;1924;11;4;Noviembre;Trim. 4;1924-11-01;NULL;NULL;NULL;NULL
19241201;1924-12-01;1924;12;4;Diciembre;Trim. 4;1924-12-01;NULL;NULL;NULL;NULL
19250101;1925-01-01;1925;1;1;Enero;Trim. 1;1925-01-01;NULL;NULL;NULL;NULL
19250201;1925-02-01;1925;2;1;Febrero;Trim. 1;1925-02-01;NULL;NULL;NULL;NULL
19250301;1925-03-01;1925;3;1;Marzo;Trim. 1;1925-03-01;NULL;NULL;NULL;NULL
19250401;1925-04-01;1925;4;2;Abril;Trim. 2;1925-04-01;NULL;NULL;NULL;NULL
19250501;1925-05-01;1925;5;2;Mayo;Trim. 2;1925-05-01;NULL;NULL;NULL;NULL
19250601;1925-06-01;1925;6;2;Junio;Trim. 2;1925-06-01;NULL;NULL;NULL;NULL
19250701;1925-07-01;1925;7;3;Julio;Trim. 3;1925-07-01;NULL;NULL;NULL;NULL
19250801;1925-08-01;1925;8;3;Agosto;Trim. 3;1925-08-01;NULL;NULL;NULL;NULL
19250901;1925-09-01;1925;9;3;Septiembre;Trim. 3;1925-09-01;NULL;NULL;NULL;NULL
19251001;1925-10-01;1925;10;4;Octubre;Trim. 4;1925-10-01;NULL;NULL;NULL;NULL
19251101;1925-11-01;1925;11;4;Noviembre;Trim. 4;1925-11-01;NULL;NULL;NULL;NULL
19251201;1925-12-01;1925;12;4;Diciembre;Trim. 4;1925-12-01;NULL;NULL;NULL;NULL
19260101;1926-01-01;1926;1;1;Enero;Trim. 1;1926-01-01;NULL;NULL;NULL;NULL
19260201;1926-02-01;1926;2;1;Febrero;Trim. 1;1926-02-01;NULL;NULL;NULL;NULL
19260301;1926-03-01;1926;3;1;Marzo;Trim. 1;1926-03-01;NULL;NULL;NULL;NULL
19260401;1926-04-01;1926;4;2;Abril;Trim. 2;1926-04-01;NULL;NULL;NULL;NULL
19260501;1926-05-01;1926;5;2;Mayo;Trim. 2;1926-05-01;NULL;NULL;NULL;NULL
19260601;1926-06-01;1926;6;2;Junio;Trim. 2;1926-06-01;NULL;NULL;NULL;NULL
19260701;1926-07-01;1926;7;3;Julio;Trim. 3;1926-07-01;NULL;NULL;NULL;NULL
19260801;1926-08-01;1926;8;3;Agosto;Trim. 3;1926-08-01;NULL;NULL;NULL;NULL
19260901;1926-09-01;1926;9;3;Septiembre;Trim. 3;1926-09-01;NULL;NULL;NULL;NULL
19261001;1926-10-01;1926;10;4;Octubre;Trim. 4;1926-10-01;NULL;NULL;NULL;NULL
19261101;1926-11-01;1926;11;4;Noviembre;Trim. 4;1926-11-01;NULL;NULL;NULL;NULL
19261201;1926-12-01;1926;12;4;Diciembre;Trim. 4;1926-12-01;NULL;NULL;NULL;NULL
19270101;1927-01-01;1927;1;1;Enero;Trim. 1;1927-01-01;NULL;NULL;NULL;NULL
19270201;1927-02-01;1927;2;1;Febrero;Trim. 1;1927-02-01;NULL;NULL;NULL;NULL
19270301;1927-03-01;1927;3;1;Marzo;Trim. 1;1927-03-01;NULL;NULL;NULL;NULL
19270401;1927-04-01;1927;4;2;Abril;Trim. 2;1927-04-01;NULL;NULL;NULL;NULL
19270501;1927-05-01;1927;5;2;Mayo;Trim. 2;1927-05-01;NULL;NULL;NULL;NULL
19270601;1927-06-01;1927;6;2;Junio;Trim. 2;1927-06-01;NULL;NULL;NULL;NULL
19270701;1927-07-01;1927;7;3;Julio;Trim. 3;1927-07-01;NULL;NULL;NULL;NULL
19270801;1927-08-01;1927;8;3;Agosto;Trim. 3;1927-08-01;NULL;NULL;NULL;NULL
19270901;1927-09-01;1927;9;3;Septiembre;Trim. 3;1927-09-01;NULL;NULL;NULL;NULL
19271001;1927-10-01;1927;10;4;Octubre;Trim. 4;1927-10-01;NULL;NULL;NULL;NULL
19271101;1927-11-01;1927;11;4;Noviembre;Trim. 4;1927-11-01;NULL;NULL;NULL;NULL
19271201;1927-12-01;1927;12;4;Diciembre;Trim. 4;1927-12-01;NULL;NULL;NULL;NULL
19280101;1928-01-01;1928;1;1;Enero;Trim. 1;1928-01-01;NULL;NULL;NULL;NULL
19280201;1928-02-01;1928;2;1;Febrero;Trim. 1;1928-02-01;NULL;NULL;NULL;NULL
19280301;1928-03-01;1928;3;1;Marzo;Trim. 1;1928-03-01;NULL;NULL;NULL;NULL
19280401;1928-04-01;1928;4;2;Abril;Trim. 2;1928-04-01;NULL;NULL;NULL;NULL
19280501;1928-05-01;1928;5;2;Mayo;Trim. 2;1928-05-01;NULL;NULL;NULL;NULL
19280601;1928-06-01;1928;6;2;Junio;Trim. 2;1928-06-01;NULL;NULL;NULL;NULL
19280701;1928-07-01;1928;7;3;Julio;Trim. 3;1928-07-01;NULL;NULL;NULL;NULL
19280801;1928-08-01;1928;8;3;Agosto;Trim. 3;1928-08-01;NULL;NULL;NULL;NULL
19280901;1928-09-01;1928;9;3;Septiembre;Trim. 3;1928-09-01;NULL;NULL;NULL;NULL
19281001;1928-10-01;1928;10;4;Octubre;Trim. 4;1928-10-01;NULL;NULL;NULL;NULL
19281101;1928-11-01;1928;11;4;Noviembre;Trim. 4;1928-11-01;NULL;NULL;NULL;NULL
19281201;1928-12-01;1928;12;4;Diciembre;Trim. 4;1928-12-01;NULL;NULL;NULL;NULL
19290101;1929-01-01;1929;1;1;Enero;Trim. 1;1929-01-01;NULL;NULL;NULL;NULL
19290201;1929-02-01;1929;2;1;Febrero;Trim. 1;1929-02-01;NULL;NULL;NULL;NULL
19290301;1929-03-01;1929;3;1;Marzo;Trim. 1;1929-03-01;NULL;NULL;NULL;NULL
19290401;1929-04-01;1929;4;2;Abril;Trim. 2;1929-04-01;NULL;NULL;NULL;NULL
19290501;1929-05-01;1929;5;2;Mayo;Trim. 2;1929-05-01;NULL;NULL;NULL;NULL
19290601;1929-06-01;1929;6;2;Junio;Trim. 2;1929-06-01;NULL;NULL;NULL;NULL
19290701;1929-07-01;1929;7;3;Julio;Trim. 3;1929-07-01;NULL;NULL;NULL;NULL
19290801;1929-08-01;1929;8;3;Agosto;Trim. 3;1929-08-01;NULL;NULL;NULL;NULL
19290901;1929-09-01;1929;9;3;Septiembre;Trim. 3;1929-09-01;NULL;NULL;NULL;NULL
19291001;1929-10-01;1929;10;4;Octubre;Trim. 4;1929-10-01;NULL;NULL;NULL;NULL
19291101;1929-11-01;1929;11;4;Noviembre;Trim. 4;1929-11-01;NULL;NULL;NULL;NULL
19291201;1929-12-01;1929;12;4;Diciembre;Trim. 4;1929-12-01;NULL;NULL;NULL;NULL
19300101;1930-01-01;1930;1;1;Enero;Trim. 1;1930-01-01;NULL;NULL;NULL;NULL
19300201;1930-02-01;1930;2;1;Febrero;Trim. 1;1930-02-01;NULL;NULL;NULL;NULL
19300301;1930-03-01;1930;3;1;Marzo;Trim. 1;1930-03-01;NULL;NULL;NULL;NULL
19300401;1930-04-01;1930;4;2;Abril;Trim. 2;1930-04-01;NULL;NULL;NULL;NULL
19300501;1930-05-01;1930;5;2;Mayo;Trim. 2;1930-05-01;NULL;NULL;NULL;NULL
19300601;1930-06-01;1930;6;2;Junio;Trim. 2;1930-06-01;NULL;NULL;NULL;NULL
19300701;1930-07-01;1930;7;3;Julio;Trim. 3;1930-07-01;NULL;NULL;NULL;NULL
19300801;1930-08-01;1930;8;3;Agosto;Trim. 3;1930-08-01;NULL;NULL;NULL;NULL
19300901;1930-09-01;1930;9;3;Septiembre;Trim. 3;1930-09-01;NULL;NULL;NULL;NULL
19301001;1930-10-01;1930;10;4;Octubre;Trim. 4;1930-10-01;NULL;NULL;NULL;NULL
19301101;1930-11-01;1930;11;4;Noviembre;Trim. 4;1930-11-01;NULL;NULL;NULL;NULL
19301201;1930-12-01;1930;12;4;Diciembre;Trim. 4;1930-12-01;NULL;NULL;NULL;NULL
19310101;1931-01-01;1931;1;1;Enero;Trim. 1;1931-01-01;NULL;NULL;NULL;NULL
19310201;1931-02-01;1931;2;1;Febrero;Trim. 1;1931-02-01;NULL;NULL;NULL;NULL
19310301;1931-03-01;1931;3;1;Marzo;Trim. 1;1931-03-01;NULL;NULL;NULL;NULL
19310401;1931-04-01;1931;4;2;Abril;Trim. 2;1931-04-01;NULL;NULL;NULL;NULL
19310501;1931-05-01;1931;5;2;Mayo;Trim. 2;1931-05-01;NULL;NULL;NULL;NULL
19310601;1931-06-01;1931;6;2;Junio;Trim. 2;1931-06-01;NULL;NULL;NULL;NULL
19310701;1931-07-01;1931;7;3;Julio;Trim. 3;1931-07-01;NULL;NULL;NULL;NULL
19310801;1931-08-01;1931;8;3;Agosto;Trim. 3;1931-08-01;NULL;NULL;NULL;NULL
19310901;1931-09-01;1931;9;3;Septiembre;Trim. 3;1931-09-01;NULL;NULL;NULL;NULL
19311001;1931-10-01;1931;10;4;Octubre;Trim. 4;1931-10-01;NULL;NULL;NULL;NULL
19311101;1931-11-01;1931;11;4;Noviembre;Trim. 4;1931-11-01;NULL;NULL;NULL;NULL
19311201;1931-12-01;1931;12;4;Diciembre;Trim. 4;1931-12-01;NULL;NULL;NULL;NULL
19320101;1932-01-01;1932;1;1;Enero;Trim. 1;1932-01-01;NULL;NULL;NULL;NULL
19320201;1932-02-01;1932;2;1;Febrero;Trim. 1;1932-02-01;NULL;NULL;NULL;NULL
19320301;1932-03-01;1932;3;1;Marzo;Trim. 1;1932-03-01;NULL;NULL;NULL;NULL
19320401;1932-04-01;1932;4;2;Abril;Trim. 2;1932-04-01;NULL;NULL;NULL;NULL
19320501;1932-05-01;1932;5;2;Mayo;Trim. 2;1932-05-01;NULL;NULL;NULL;NULL
19320601;1932-06-01;1932;6;2;Junio;Trim. 2;1932-06-01;NULL;NULL;NULL;NULL
19320701;1932-07-01;1932;7;3;Julio;Trim. 3;1932-07-01;NULL;NULL;NULL;NULL
19320801;1932-08-01;1932;8;3;Agosto;Trim. 3;1932-08-01;NULL;NULL;NULL;NULL
19320901;1932-09-01;1932;9;3;Septiembre;Trim. 3;1932-09-01;NULL;NULL;NULL;NULL
19321001;1932-10-01;1932;10;4;Octubre;Trim. 4;1932-10-01;NULL;NULL;NULL;NULL
19321101;1932-11-01;1932;11;4;Noviembre;Trim. 4;1932-11-01;NULL;NULL;NULL;NULL
19321201;1932-12-01;1932;12;4;Diciembre;Trim. 4;1932-12-01;NULL;NULL;NULL;NULL
19330101;1933-01-01;1933;1;1;Enero;Trim. 1;1933-01-01;NULL;NULL;NULL;NULL
19330201;1933-02-01;1933;2;1;Febrero;Trim. 1;1933-02-01;NULL;NULL;NULL;NULL
19330301;1933-03-01;1933;3;1;Marzo;Trim. 1;1933-03-01;NULL;NULL;NULL;NULL
19330401;1933-04-01;1933;4;2;Abril;Trim. 2;1933-04-01;NULL;NULL;NULL;NULL
19330501;1933-05-01;1933;5;2;Mayo;Trim. 2;1933-05-01;NULL;NULL;NULL;NULL
19330601;1933-06-01;1933;6;2;Junio;Trim. 2;1933-06-01;NULL;NULL;NULL;NULL
19330701;1933-07-01;1933;7;3;Julio;Trim. 3;1933-07-01;NULL;NULL;NULL;NULL
19330801;1933-08-01;1933;8;3;Agosto;Trim. 3;1933-08-01;NULL;NULL;NULL;NULL
19330901;1933-09-01;1933;9;3;Septiembre;Trim. 3;1933-09-01;NULL;NULL;NULL;NULL
19331001;1933-10-01;1933;10;4;Octubre;Trim. 4;1933-10-01;NULL;NULL;NULL;NULL
19331101;1933-11-01;1933;11;4;Noviembre;Trim. 4;1933-11-01;NULL;NULL;NULL;NULL
19331201;1933-12-01;1933;12;4;Diciembre;Trim. 4;1933-12-01;NULL;NULL;NULL;NULL
19340101;1934-01-01;1934;1;1;Enero;Trim. 1;1934-01-01;NULL;NULL;NULL;NULL
19340201;1934-02-01;1934;2;1;Febrero;Trim. 1;1934-02-01;NULL;NULL;NULL;NULL
19340301;1934-03-01;1934;3;1;Marzo;Trim. 1;1934-03-01;NULL;NULL;NULL;NULL
19340401;1934-04-01;1934;4;2;Abril;Trim. 2;1934-04-01;NULL;NULL;NULL;NULL
19340501;1934-05-01;1934;5;2;Mayo;Trim. 2;1934-05-01;NULL;NULL;NULL;NULL
19340601;1934-06-01;1934;6;2;Junio;Trim. 2;1934-06-01;NULL;NULL;NULL;NULL
19340701;1934-07-01;1934;7;3;Julio;Trim. 3;1934-07-01;NULL;NULL;NULL;NULL
19340801;1934-08-01;1934;8;3;Agosto;Trim. 3;1934-08-01;NULL;NULL;NULL;NULL
19340901;1934-09-01;1934;9;3;Septiembre;Trim. 3;1934-09-01;NULL;NULL;NULL;NULL
19341001;1934-10-01;1934;10;4;Octubre;Trim. 4;1934-10-01;NULL;NULL;NULL;NULL
19341101;1934-11-01;1934;11;4;Noviembre;Trim. 4;1934-11-01;NULL;NULL;NULL;NULL
19341201;1934-12-01;1934;12;4;Diciembre;Trim. 4;1934-12-01;NULL;NULL;NULL;NULL
19350101;1935-01-01;1935;1;1;Enero;Trim. 1;1935-01-01;NULL;NULL;NULL;NULL
19350201;1935-02-01;1935;2;1;Febrero;Trim. 1;1935-02-01;NULL;NULL;NULL;NULL
19350301;1935-03-01;1935;3;1;Marzo;Trim. 1;1935-03-01;NULL;NULL;NULL;NULL
19350401;1935-04-01;1935;4;2;Abril;Trim. 2;1935-04-01;NULL;NULL;NULL;NULL
19350501;1935-05-01;1935;5;2;Mayo;Trim. 2;1935-05-01;NULL;NULL;NULL;NULL
19350601;1935-06-01;1935;6;2;Junio;Trim. 2;1935-06-01;NULL;NULL;NULL;NULL
19350701;1935-07-01;1935;7;3;Julio;Trim. 3;1935-07-01;NULL;NULL;NULL;NULL
19350801;1935-08-01;1935;8;3;Agosto;Trim. 3;1935-08-01;NULL;NULL;NULL;NULL
19350901;1935-09-01;1935;9;3;Septiembre;Trim. 3;1935-09-01;NULL;NULL;NULL;NULL
19351001;1935-10-01;1935;10;4;Octubre;Trim. 4;1935-10-01;NULL;NULL;NULL;NULL
19351101;1935-11-01;1935;11;4;Noviembre;Trim. 4;1935-11-01;NULL;NULL;NULL;NULL
19351201;1935-12-01;1935;12;4;Diciembre;Trim. 4;1935-12-01;NULL;NULL;NULL;NULL
19360101;1936-01-01;1936;1;1;Enero;Trim. 1;1936-01-01;NULL;NULL;NULL;NULL
19360201;1936-02-01;1936;2;1;Febrero;Trim. 1;1936-02-01;NULL;NULL;NULL;NULL
19360301;1936-03-01;1936;3;1;Marzo;Trim. 1;1936-03-01;NULL;NULL;NULL;NULL
19360401;1936-04-01;1936;4;2;Abril;Trim. 2;1936-04-01;NULL;NULL;NULL;NULL
19360501;1936-05-01;1936;5;2;Mayo;Trim. 2;1936-05-01;NULL;NULL;NULL;NULL
19360601;1936-06-01;1936;6;2;Junio;Trim. 2;1936-06-01;NULL;NULL;NULL;NULL
19360701;1936-07-01;1936;7;3;Julio;Trim. 3;1936-07-01;NULL;NULL;NULL;NULL
19360801;1936-08-01;1936;8;3;Agosto;Trim. 3;1936-08-01;NULL;NULL;NULL;NULL
19360901;1936-09-01;1936;9;3;Septiembre;Trim. 3;1936-09-01;NULL;NULL;NULL;NULL
19361001;1936-10-01;1936;10;4;Octubre;Trim. 4;1936-10-01;NULL;NULL;NULL;NULL
19361101;1936-11-01;1936;11;4;Noviembre;Trim. 4;1936-11-01;NULL;NULL;NULL;NULL
19361201;1936-12-01;1936;12;4;Diciembre;Trim. 4;1936-12-01;NULL;NULL;NULL;NULL
19370101;1937-01-01;1937;1;1;Enero;Trim. 1;1937-01-01;NULL;NULL;NULL;NULL
19370201;1937-02-01;1937;2;1;Febrero;Trim. 1;1937-02-01;NULL;NULL;NULL;NULL
19370301;1937-03-01;1937;3;1;Marzo;Trim. 1;1937-03-01;NULL;NULL;NULL;NULL
19370401;1937-04-01;1937;4;2;Abril;Trim. 2;1937-04-01;NULL;NULL;NULL;NULL
19370501;1937-05-01;1937;5;2;Mayo;Trim. 2;1937-05-01;NULL;NULL;NULL;NULL
19370601;1937-06-01;1937;6;2;Junio;Trim. 2;1937-06-01;NULL;NULL;NULL;NULL
19370701;1937-07-01;1937;7;3;Julio;Trim. 3;1937-07-01;NULL;NULL;NULL;NULL
19370801;1937-08-01;1937;8;3;Agosto;Trim. 3;1937-08-01;NULL;NULL;NULL;NULL
19370901;1937-09-01;1937;9;3;Septiembre;Trim. 3;1937-09-01;NULL;NULL;NULL;NULL
19371001;1937-10-01;1937;10;4;Octubre;Trim. 4;1937-10-01;NULL;NULL;NULL;NULL
19371101;1937-11-01;1937;11;4;Noviembre;Trim. 4;1937-11-01;NULL;NULL;NULL;NULL
19371201;1937-12-01;1937;12;4;Diciembre;Trim. 4;1937-12-01;NULL;NULL;NULL;NULL
19380101;1938-01-01;1938;1;1;Enero;Trim. 1;1938-01-01;NULL;NULL;NULL;NULL
19380201;1938-02-01;1938;2;1;Febrero;Trim. 1;1938-02-01;NULL;NULL;NULL;NULL
19380301;1938-03-01;1938;3;1;Marzo;Trim. 1;1938-03-01;NULL;NULL;NULL;NULL
19380401;1938-04-01;1938;4;2;Abril;Trim. 2;1938-04-01;NULL;NULL;NULL;NULL
19380501;1938-05-01;1938;5;2;Mayo;Trim. 2;1938-05-01;NULL;NULL;NULL;NULL
19380601;1938-06-01;1938;6;2;Junio;Trim. 2;1938-06-01;NULL;NULL;NULL;NULL
19380701;1938-07-01;1938;7;3;Julio;Trim. 3;1938-07-01;NULL;NULL;NULL;NULL
19380801;1938-08-01;1938;8;3;Agosto;Trim. 3;1938-08-01;NULL;NULL;NULL;NULL
19380901;1938-09-01;1938;9;3;Septiembre;Trim. 3;1938-09-01;NULL;NULL;NULL;NULL
19381001;1938-10-01;1938;10;4;Octubre;Trim. 4;1938-10-01;NULL;NULL;NULL;NULL
19381101;1938-11-01;1938;11;4;Noviembre;Trim. 4;1938-11-01;NULL;NULL;NULL;NULL
19381201;1938-12-01;1938;12;4;Diciembre;Trim. 4;1938-12-01;NULL;NULL;NULL;NULL
19390101;1939-01-01;1939;1;1;Enero;Trim. 1;1939-01-01;NULL;NULL;NULL;NULL
19390201;1939-02-01;1939;2;1;Febrero;Trim. 1;1939-02-01;NULL;NULL;NULL;NULL
19390301;1939-03-01;1939;3;1;Marzo;Trim. 1;1939-03-01;NULL;NULL;NULL;NULL
19390401;1939-04-01;1939;4;2;Abril;Trim. 2;1939-04-01;NULL;NULL;NULL;NULL
19390501;1939-05-01;1939;5;2;Mayo;Trim. 2;1939-05-01;NULL;NULL;NULL;NULL
19390601;1939-06-01;1939;6;2;Junio;Trim. 2;1939-06-01;NULL;NULL;NULL;NULL
19390701;1939-07-01;1939;7;3;Julio;Trim. 3;1939-07-01;NULL;NULL;NULL;NULL
19390801;1939-08-01;1939;8;3;Agosto;Trim. 3;1939-08-01;NULL;NULL;NULL;NULL
19390901;1939-09-01;1939;9;3;Septiembre;Trim. 3;1939-09-01;NULL;NULL;NULL;NULL
19391001;1939-10-01;1939;10;4;Octubre;Trim. 4;1939-10-01;NULL;NULL;NULL;NULL
19391101;1939-11-01;1939;11;4;Noviembre;Trim. 4;1939-11-01;NULL;NULL;NULL;NULL
19391201;1939-12-01;1939;12;4;Diciembre;Trim. 4;1939-12-01;NULL;NULL;NULL;NULL
19400101;1940-01-01;1940;1;1;Enero;Trim. 1;1940-01-01;NULL;NULL;NULL;NULL
19400201;1940-02-01;1940;2;1;Febrero;Trim. 1;1940-02-01;NULL;NULL;NULL;NULL
19400301;1940-03-01;1940;3;1;Marzo;Trim. 1;1940-03-01;NULL;NULL;NULL;NULL
19400401;1940-04-01;1940;4;2;Abril;Trim. 2;1940-04-01;NULL;NULL;NULL;NULL
19400501;1940-05-01;1940;5;2;Mayo;Trim. 2;1940-05-01;NULL;NULL;NULL;NULL
19400601;1940-06-01;1940;6;2;Junio;Trim. 2;1940-06-01;NULL;NULL;NULL;NULL
19400701;1940-07-01;1940;7;3;Julio;Trim. 3;1940-07-01;NULL;NULL;NULL;NULL
19400801;1940-08-01;1940;8;3;Agosto;Trim. 3;1940-08-01;NULL;NULL;NULL;NULL
19400901;1940-09-01;1940;9;3;Septiembre;Trim. 3;1940-09-01;NULL;NULL;NULL;NULL
19401001;1940-10-01;1940;10;4;Octubre;Trim. 4;1940-10-01;NULL;NULL;NULL;NULL
19401101;1940-11-01;1940;11;4;Noviembre;Trim. 4;1940-11-01;NULL;NULL;NULL;NULL
19401201;1940-12-01;1940;12;4;Diciembre;Trim. 4;1940-12-01;NULL;NULL;NULL;NULL
19410101;1941-01-01;1941;1;1;Enero;Trim. 1;1941-01-01;NULL;NULL;NULL;NULL
19410201;1941-02-01;1941;2;1;Febrero;Trim. 1;1941-02-01;NULL;NULL;NULL;NULL
19410301;1941-03-01;1941;3;1;Marzo;Trim. 1;1941-03-01;NULL;NULL;NULL;NULL
19410401;1941-04-01;1941;4;2;Abril;Trim. 2;1941-04-01;NULL;NULL;NULL;NULL
19410501;1941-05-01;1941;5;2;Mayo;Trim. 2;1941-05-01;NULL;NULL;NULL;NULL
19410601;1941-06-01;1941;6;2;Junio;Trim. 2;1941-06-01;NULL;NULL;NULL;NULL
19410701;1941-07-01;1941;7;3;Julio;Trim. 3;1941-07-01;NULL;NULL;NULL;NULL
19410801;1941-08-01;1941;8;3;Agosto;Trim. 3;1941-08-01;NULL;NULL;NULL;NULL
19410901;1941-09-01;1941;9;3;Septiembre;Trim. 3;1941-09-01;NULL;NULL;NULL;NULL
19411001;1941-10-01;1941;10;4;Octubre;Trim. 4;1941-10-01;NULL;NULL;NULL;NULL
19411101;1941-11-01;1941;11;4;Noviembre;Trim. 4;1941-11-01;NULL;NULL;NULL;NULL
19411201;1941-12-01;1941;12;4;Diciembre;Trim. 4;1941-12-01;NULL;NULL;NULL;NULL
19420101;1942-01-01;1942;1;1;Enero;Trim. 1;1942-01-01;NULL;NULL;NULL;NULL
19420201;1942-02-01;1942;2;1;Febrero;Trim. 1;1942-02-01;NULL;NULL;NULL;NULL
19420301;1942-03-01;1942;3;1;Marzo;Trim. 1;1942-03-01;NULL;NULL;NULL;NULL
19420401;1942-04-01;1942;4;2;Abril;Trim. 2;1942-04-01;NULL;NULL;NULL;NULL
19420501;1942-05-01;1942;5;2;Mayo;Trim. 2;1942-05-01;NULL;NULL;NULL;NULL
19420601;1942-06-01;1942;6;2;Junio;Trim. 2;1942-06-01;NULL;NULL;NULL;NULL
19420701;1942-07-01;1942;7;3;Julio;Trim. 3;1942-07-01;NULL;NULL;NULL;NULL
19420801;1942-08-01;1942;8;3;Agosto;Trim. 3;1942-08-01;NULL;NULL;NULL;NULL
19420901;1942-09-01;1942;9;3;Septiembre;Trim. 3;1942-09-01;NULL;NULL;NULL;NULL
19421001;1942-10-01;1942;10;4;Octubre;Trim. 4;1942-10-01;NULL;NULL;NULL;NULL
19421101;1942-11-01;1942;11;4;Noviembre;Trim. 4;1942-11-01;NULL;NULL;NULL;NULL
19421201;1942-12-01;1942;12;4;Diciembre;Trim. 4;1942-12-01;NULL;NULL;NULL;NULL
19430101;1943-01-01;1943;1;1;Enero;Trim. 1;1943-01-01;NULL;NULL;NULL;NULL
19430201;1943-02-01;1943;2;1;Febrero;Trim. 1;1943-02-01;NULL;NULL;NULL;NULL
19430301;1943-03-01;1943;3;1;Marzo;Trim. 1;1943-03-01;NULL;NULL;NULL;NULL
19430401;1943-04-01;1943;4;2;Abril;Trim. 2;1943-04-01;NULL;NULL;NULL;NULL
19430501;1943-05-01;1943;5;2;Mayo;Trim. 2;1943-05-01;NULL;NULL;NULL;NULL
19430601;1943-06-01;1943;6;2;Junio;Trim. 2;1943-06-01;NULL;NULL;NULL;NULL
19430701;1943-07-01;1943;7;3;Julio;Trim. 3;1943-07-01;NULL;NULL;NULL;NULL
19430801;1943-08-01;1943;8;3;Agosto;Trim. 3;1943-08-01;NULL;NULL;NULL;NULL
19430901;1943-09-01;1943;9;3;Septiembre;Trim. 3;1943-09-01;NULL;NULL;NULL;NULL
